,预订,5u00000G380C,G38,NXG,VNP,YKG,HGH,09:17,11:37,02:20,N,puBlwht%2FzHn95cJdeualvbZzopYhE%2BJiaLJVZtoMNbRgvgcj,20171008,3,G1,03,09,0,0,,,,,,,,,,,无,无,无,,O0M090,OM9
,预订,5u000G149600,G1496,NXG,NKH,YKG,HGH,09:39,11:59,02:20,N,puBlwht%2FzHn95cJdeualvbZzopYhE%2BJiaLJVZtoMNbRgvgcj,20171008,3,G1,02,07,0,0,,,,,,,,,,,无,无,无,,O0M090,OM9
,预订,6c000G134408,G1344,CWQ,AOH,YKG,HGH,09:45,11:50,02:05,N,ysSAQ3ZJrna3Otc5lXB3tbrlvhwdDoQlQUUQu3Vz4Hl77hZ4,20171008,3,Q7,05,09,0,0,,,,,,无,,,,,无,无,,,O0M0P0,OMP
,预订,57000G145300,G1452,JJG,HGH,YKG,HGH,10:00,12:11,02:11,N,puBlwht%2FzHn95cJdeualvbZzopYhE%2BJiaLJVZtoMNbRgvgcj,20171008,3,G2,06,11,0,0,,,,,,,,,,,无,无,无,,O0M090,OM9
,预订,5u000G235803,G2358,NXG,NGH,YKG,HGH,10:13,12:29,02:16,N,puBlwht%2FzHn95cJdeualvbZzopYhE%2BJiaLJVZtoMNbRgvgcj,20171008,3,G1,04,09,0,0,,,,,,,,,,,无,无,无,,O0M090,OM9
,预订,6c000G134607,G1346,CWQ,AOH,YKG,HGH,10:20,12:17,01:57,N,ysSAQ3ZJrna3Otc5lXB3tbrlvhwdDoQlQUUQu3Vz4Hl77hZ4,20171008,3,Q9,06,09,0,0,,,,,,无,,,,,无,无,,,O0M0P0,OMP
,预订,57000G158101,G1584,JJG,ESH,YKG,HGH,10:41,13:04,02:23,N,puBlwht%2FzHn95cJdeualvbZzopYhE%2BJiaLJVZtoMNbRgvgcj,20171008,3,G2,05,11,0,0,,,,,,,,,,,无,无,无,,O0M090,OM9
,预订,6c000G135007,G1350,CWQ,AOH,YKG,HGH,11:50,13:46,01:56,N,ysSAQ3ZJrna3Otc5lXB3tbrlvhwdDoQlQUUQu3Vz4Hl77hZ4,20171008,3,Q6,06,09,0,0,,,,,,无,,,,,无,无,,,O0M0P0,OMP
,预订,6c000G234802,G2348,CWQ,NGH,YKG,HGH,12:03,14:31,02:28,N,puBlwht%2FzHn95cJdeualvbZzopYhE%2BJiaLJVZtoMNbRgvgcj,20171008,3,Q7,07,13,0,0,,,,,,,,,,,无,无,无,,O0M090,OM9
,预订,6c000G143404,G1434,CWQ,NGH,YKG,HGH,12:21,14:26,02:05,N,ysSAQ3ZJrna3Otc5lXB3tbrlvhwdDoQlQUUQu3Vz4Hl77hZ4,20171008,3,Q7,07,11,0,0,,,,,,无,,,,,无,无,,,O0M0P0,OMP
